Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2014,rnk_2013,rnk_2014,stDev,odds_0728
Akron,-0.258333333,-0.140333333,-0.090666667,-0.027666667,166.7,-0.185666667,-0.218,-0.147,-0.043,-0.029,183,-0.146,-0.16356534,105,106,-1.631349905,10000
UNLV,-0.22,-0.098333333,-0.103333333,-0.018333333,174.4333333,-0.193666667,-0.153,-0.057,-0.053,-0.043,187.6,-0.125,-0.164215847,94,107,-1.393558867,10000
New Mexico,-0.299666667,-0.08,-0.2,-0.019666667,167.4333333,-0.242666667,-0.238,0.006,-0.262,0.018,179.1,-0.185,-0.167982524,107,108,-1.887750676,10000
Central Michigan,-0.19,-0.061333333,-0.122666667,-0.006,175.7666667,-0.159666667,-0.251,-0.118,-0.135,0.001,167.6,-0.207,-0.169191834,108,109,-1.207461534,10000
Western Michigan,-0.140333333,-0.049333333,-0.074,-0.016666667,186.2,-0.098333333,-0.315,-0.183,-0.079,-0.053,159.8,-0.217,-0.181993509,114,110,-0.899367059,10000
Purdue,-0.14,-0.085666667,-0.056666667,0.002333333,186.5333333,-0.128666667,-0.273,-0.146,-0.115,-0.012,167.7,-0.214,-0.184013847,111,111,-0.897299311,10000
Air Force,-0.155,-2.31E-18,-0.136333333,-0.019,185.8666667,-0.145333333,-0.265,-0.011,-0.241,-0.013,171.9,-0.235,-0.186866702,110,112,-0.990347978,10000
Southern Miss,-0.142666667,-0.103666667,-0.029666667,-0.01,187.1666667,-0.113,-0.328,-0.198,-0.103,-0.028,158,-0.279,-0.19834404,115,113,-0.913841296,10000
UTEP,-0.21,-0.061333333,-0.157333333,0.008666667,175.9666667,-0.164,-0.328,-0.086,-0.245,0.003,159,-0.254,-0.200050356,116,114,-1.331526423,10000
Miami (Ohio),-0.208,-0.111,-0.084,-0.013,174.4333333,-0.159666667,-0.365,-0.259,-0.116,0.011,142.7,-0.261,-0.203299715,118,115,-1.319119934,10000
UAB,-0.220666667,-0.049,-0.174,0.002333333,174.2333333,-0.191333333,-0.288,-0.048,-0.239,-0.001,165.5,-0.21,-0.204324336,112,116,-1.397694364,10000
Idaho,-0.275333333,-0.172,-0.091,-0.012333333,164.7333333,-0.214333333,-0.309,-0.174,-0.107,-0.028,162.7,-0.242,-0.23420836,113,117,-1.736805061,10000
New Mexico State,-0.31,-0.115666667,-0.144,-0.05,161.5333333,-0.239,-0.349,-0.128,-0.156,-0.064,151.1,-0.24,-0.269314895,117,118,-1.951850869,10000
Florida International,-0.19,-0.129333333,-0.043,-0.018,177.9333333,-0.136,-0.425,-0.24,-0.133,-0.053,143,-0.285,-0.269351983,120,119,-1.207461534,10000
Eastern Michigan,-0.265333333,-0.099666667,-0.135333333,-0.030333333,168.3333333,-0.213,-0.421,-0.112,-0.242,-0.067,154.1,-0.345,-0.312710101,119,120,-1.674772616,10000
