Tm,Yr,1D,2sh,2mid,2lng,2D,3sh,3mid,3lng,3D,all
OAK,2008,-0.111,-0.279,-0.396,-0.053,-0.201,-0.168,-0.362,-1.53,-0.581,-0.261
NYJ,2008,0,0.365,0.245,-0.059,0.15,-0.243,0.163,-1.031,-0.246,0
NYG,2008,0.182,0.289,-0.085,0.213,0.144,-0.029,0.325,0.634,0.281,0.189
NO,2008,0.064,0.126,0.158,0.193,0.165,0.008,0.465,0.956,0.349,0.163
NE,2008,0.024,-0.004,0.259,0.197,0.165,0.177,-0.311,1.061,0.241,0.125
MIN,2008,-0.09,-0.007,-0.416,-0.12,-0.196,-0.067,0.251,-0.171,0.024,-0.099
MIA,2008,0.151,0.076,0.184,0.286,0.212,0.091,-0.001,-0.548,-0.086,0.12
KC,2008,-0.183,-0.175,0.148,0.101,0.053,-0.128,-0.031,-0.366,-0.141,-0.092
JAC,2008,0.027,-0.163,-0.118,0.259,0.046,0.322,-0.207,0.387,0.142,0.06
IND,2008,-0.019,0.023,0.292,0.205,0.192,0.266,0.18,0.781,0.342,0.142
HOU,2008,0.098,-0.124,-0.071,0.067,-0.016,-0.025,0.169,0.367,0.115,0.062
GB,2008,0.077,-0.316,0.116,-0.213,-0.109,0.372,0.473,0.046,0.343,0.073
DET,2008,-0.212,-0.322,-0.082,-0.104,-0.144,-0.025,-0.52,-0.889,-0.496,-0.253
DEN,2008,0.113,-0.01,0.418,0.406,0.306,0.212,0.076,0.196,0.164,0.192
DAL,2008,0.039,0.162,-0.465,-0.156,-0.182,-0.087,0.635,0.361,0.295,0.018
CLE,2008,-0.145,-0.185,-0.228,-0.288,-0.252,-0.006,-0.319,-0.555,-0.273,-0.213
CIN,2008,-0.089,-0.289,-0.367,-0.103,-0.218,-0.229,-0.315,-0.33,-0.287,-0.183
CHI,2008,-0.038,0.16,-0.254,-0.253,-0.151,-0.163,-0.03,-0.05,-0.086,-0.09
CAR,2008,0.112,0.263,0.511,-0.041,0.175,0.217,-0.136,0.27,0.089,0.129
BUF,2008,0.149,-0.129,-0.218,-0.673,-0.41,-0.172,0.018,-0.113,-0.084,-0.098
BAL,2008,-0.151,0.374,0.041,-0.105,0.031,0.165,0.091,0.465,0.228,-0.003
ATL,2008,0.159,-0.129,-0.068,0.047,-0.027,0.047,0.087,0.267,0.123,0.085
ARI,2008,0.112,-0.114,-0.173,0.194,0.012,-0.046,0.06,-0.133,-0.035,0.046
WAS,2007,0.067,0.145,-0.215,-0.077,-0.079,-0.16,-0.042,0.14,-0.042,-0.01
TEN,2007,0.018,0.258,-0.079,-0.106,-0.032,-0.37,-0.183,0.163,-0.167,-0.04
TB,2007,0.1,-0.082,-0.226,0.359,0.066,-0.102,0.167,-0.335,-0.03,0.058
STL,2007,-0.245,-0.035,-0.131,-0.274,-0.187,-0.138,-0.257,-0.394,-0.255,-0.227
SF,2007,-0.268,-0.369,-0.168,-0.358,-0.295,-0.304,-0.351,-0.76,-0.447,-0.322
SEA,2007,0.078,0.042,0.292,0.079,0.148,-0.127,0.05,-0.208,-0.087,0.066
SD,2007,-0.129,-0.207,-0.064,0.358,0.142,0.277,0.125,0.296,0.227,0.046
PIT,2007,-0.029,0.236,0.114,-0.244,-0.037,0.048,0.562,1.039,0.506,0.085
PHI,2007,0.254,0.233,-0.182,0.098,0.028,0.2,0.059,-0.294,0.035,0.124
OAK,2007,-0.324,-0.062,0.11,-0.168,-0.056,0.227,-0.176,-0.537,-0.113,-0.18
NYJ,2007,0.074,-0.178,-0.17,-0.325,-0.241,-0.301,0.246,-0.515,-0.156,-0.093
NYG,2007,0.072,-0.118,0.28,-0.233,-0.041,0.076,-0.027,-0.654,-0.118,-0.011
NO,2007,0.158,-0.047,-0.015,-0.172,-0.084,0.082,0.075,0.329,0.122,0.066
NE,2007,0.329,0.318,0.499,0.7,0.528,0.314,0.42,1.039,0.48,0.435
MIN,2007,-0.072,0.047,0.057,0.22,0.15,-0.139,-0.182,-0.054,-0.123,-0.008
MIA,2007,-0.006,0.007,-0.031,-0.005,-0.009,-0.045,-0.176,-0.543,-0.227,-0.061
KC,2007,-0.233,-0.239,-0.243,-0.231,-0.236,-0.206,0.103,-0.106,-0.067,-0.194
JAC,2007,0.195,0.025,-0.236,0.387,0.098,0.043,0.217,1.474,0.412,0.216
IND,2007,0.14,0.22,0.307,0.39,0.326,0.093,0.36,0.244,0.215,0.222
HOU,2007,-0.093,-0.013,0.071,0.029,0.034,0.278,0.205,-0.082,0.18,0.015
GB,2007,-0.029,0.162,0.37,0.294,0.297,-0.105,0.112,1.301,0.311,0.157
DET,2007,0.049,-0.185,-0.25,-0.058,-0.142,-0.259,-0.179,-0.76,-0.373,-0.103
DEN,2007,-0.006,-0.083,0.091,0.391,0.198,0.232,-0.312,0.599,0.131,0.095
DAL,2007,0.177,0.22,-0.326,0.313,0.08,0.658,0.09,0.199,0.285,0.166
CLE,2007,0.009,0.161,-0.037,0.169,0.106,0.152,0.059,0.415,0.185,0.079
CIN,2007,0.213,0.112,0.064,-0.195,-0.033,0.058,-0.126,0.956,0.183,0.12
CHI,2007,-0.266,-0.367,-0.076,-0.175,-0.177,0.009,-0.081,-0.654,-0.208,-0.221
CAR,2007,-0.089,-0.001,-0.1,-0.168,-0.117,-0.407,-0.026,-0.472,-0.29,-0.147
BUF,2007,-0.058,-0.164,-0.135,-0.018,-0.077,-0.328,-0.05,-0.215,-0.199,-0.097
BAL,2007,-0.053,-0.348,-0.061,-0.328,-0.252,-0.223,0.01,-0.085,-0.099,-0.133
ATL,2007,-0.088,-0.217,-0.237,-0.24,-0.235,0.212,-0.528,-0.195,-0.187,-0.162
ARI,2007,-0.107,0.097,0.25,-0.219,0.003,0.394,-0.132,-0.117,0.04,-0.036
WAS,2006,0.141,0.019,0.004,-0.001,0.004,-0.247,0.188,-0.314,-0.094,0.04
TEN,2006,-0.13,0.395,0.02,-0.215,-0.071,-0.007,-0.333,0.143,-0.065,-0.095
TB,2006,-0.19,0.254,-0.253,-0.114,-0.125,0.196,0.24,-1.368,-0.162,-0.16
STL,2006,0.014,-0.286,0.241,0.077,0.051,-0.006,0.186,-0.224,0.005,0.025
SF,2006,-0.061,-0.139,-0.06,-0.177,-0.13,-0.553,0.363,0.123,-0.046,-0.082
SEA,2006,-0.124,-0.022,0.028,-0.173,-0.09,-0.102,-0.372,0.132,-0.122,-0.112
SD,2006,0.167,0.478,0.333,0.437,0.411,0.391,-0.187,0.444,0.188,0.257
PIT,2006,0.066,0.054,-0.201,0.103,0.01,0.195,0.129,0.201,0.175,0.071
PHI,2006,0.367,-0.234,0.361,0.1,0.113,-0.184,-0.061,0.623,0.061,0.211
OAK,2006,-0.414,0.117,-0.424,-0.386,-0.317,-0.081,-0.172,-1.098,-0.367,-0.37
NYJ,2006,0.009,0.278,-0.104,-0.001,0.009,-0.093,0.542,0.046,0.203,0.056
NYG,2006,0.072,-0.068,0.283,0.221,0.178,0.082,0.174,0.093,0.118,0.12
NO,2006,0.11,-0.34,-0.117,0.315,0.009,0.342,-0.106,0.677,0.216,0.1
NE,2006,0.237,-0.005,-0.057,-0.134,-0.08,0.163,0.297,0.554,0.3,0.141
MIN,2006,-0.132,-0.381,-0.182,-0.16,-0.215,0.06,-0.511,-0.1,-0.202,-0.179
MIA,2006,-0.068,-0.224,-0.181,-0.274,-0.234,-0.002,-0.147,0.535,0.045,-0.1
KC,2006,0.105,-0.053,0.075,-0.052,-0.012,0.313,0.286,-0.453,0.096,0.063
JAC,2006,0.255,0.122,-0.206,-0.052,-0.086,-0.086,0.031,-0.187,-0.048,0.068
IND,2006,0.245,0.13,0.159,0.169,0.156,0.137,0.602,1.481,0.62,0.285
HOU,2006,-0.16,0.38,-0.109,-0.075,0.029,0.191,-0.103,-0.245,-0.03,-0.063
GB,2006,-0.249,-0.086,0.119,0.107,0.074,0.082,0.17,0.131,0.125,-0.049
DET,2006,-0.243,-0.2,-0.032,0.098,-0.002,-0.101,-0.327,0.132,-0.119,-0.134
DEN,2006,-0.045,0.132,-0.164,0.176,0.065,0.031,-0.37,-0.279,-0.218,-0.048
DAL,2006,0.085,-0.21,0.134,0.066,0.036,0.074,0.603,0.438,0.324,0.12
CLE,2006,-0.037,0.083,-0.487,-0.329,-0.291,-0.028,-0.301,-0.351,-0.216,-0.165
CIN,2006,0.227,0.102,0.162,0.183,0.162,0.148,-0.238,-0.184,-0.096,0.14
CHI,2006,-0.101,0.028,0.08,0.103,0.082,-0.157,-0.488,0.264,-0.158,-0.05
CAR,2006,0.036,0.354,0.237,-0.096,0.116,-0.373,-0.382,-0.399,-0.385,-0.022
BUF,2006,-0.081,0.108,0.036,0.069,0.064,-0.391,-0.197,-0.213,-0.281,-0.075
BAL,2006,-0.022,-0.041,0.061,-0.128,-0.055,-0.006,0.451,-0.203,0.154,0.009
ATL,2006,0.051,-0.028,-0.02,0.063,0.021,0.127,-0.219,-0.4,-0.143,-0.006
ARI,2006,-0.229,-0.307,0.023,0.093,0,-0.248,-0.036,0.427,0.015,-0.094
WAS,2005,0.207,-0.136,-0.026,0.014,-0.026,-0.017,-0.379,0.489,0.002,0.081
TEN,2005,0.036,-0.077,-0.341,-0.056,-0.144,-0.081,-0.309,-0.202,-0.192,-0.082
TB,2005,-0.253,-0.021,0.283,-0.037,0.074,0.209,0.092,0.075,0.126,-0.051
STL,2005,-0.096,0.162,-0.326,0.029,-0.087,-0.16,-0.243,0.391,-0.033,-0.079
SF,2005,-0.477,-0.027,-0.011,-0.368,-0.209,-0.018,-0.212,-1.52,-0.587,-0.404
SEA,2005,0.292,0.213,0.262,0.288,0.263,0.634,0.101,0.039,0.308,0.285
SD,2005,0.208,0.623,-0.015,0.207,0.211,0.196,0.291,0.306,0.263,0.221
PIT,2005,0.134,-0.095,0.38,0.232,0.226,-0.06,-0.008,-0.276,-0.092,0.12
PHI,2005,-0.034,-0.455,0.112,-0.228,-0.143,0.31,-0.037,-0.495,-0.055,-0.075
OAK,2005,-0.028,-0.016,-0.09,0.014,-0.025,-0.09,0.263,-0.001,0.069,-0.006
